feature_dim,lda_components,classifier,seed,accuracy,projection_sec,lda_fit_sec,lda_transform_train_sec,lda_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
512,10,sgd,3,0.1691,0.0,0.8823626660159789,0.027897458989173174,0.011301124992314726,0.47544041596120223,0.002147125022020191,1.3995482500176877
512,20,logistic,3,0.3211,0.0,0.8279592080507427,0.045097374997567385,0.006591667013708502,3.281381041975692,0.0063353750156238675,4.167981415987015
512,20,sgd,3,0.2283,0.0,0.9019352500326931,0.04627204203279689,0.013183166971430182,0.6779038329841569,0.0028229159652255476,1.6425776249961928
512,40,logistic,3,0.395,0.0,0.8192511249799281,0.03056174999801442,0.005439167027361691,3.018605540972203,0.004839667002670467,3.8796783330035396
512,40,sgd,3,0.3098,0.0,1.0840460420004092,0.050125042034778744,0.009612917026970536,0.8321395840030164,0.002973249997012317,1.9793443749658763
512,80,logistic,3,0.422,0.0,0.8087949579930864,0.027083583001513034,0.005760415981058031,3.937673667038325,0.005131000012625009,4.784798499953467
512,80,sgd,3,0.4075,0.0,0.8391320000519045,0.028612750000320375,0.012531374988611788,1.1754447090206668,0.0024836669908836484,2.058622332988307
512,99,logistic,3,0.4263,0.0,0.7730564999510534,0.02657175000058487,0.005708582990337163,4.043159542023204,0.010755249997600913,4.8599652090342715
512,99,sgd,3,0.4134,0.0,0.9523336659767665,0.03373241698136553,0.012535625020973384,1.540816624998115,0.003261790960095823,2.543317375006154
256,2,logistic,3,0.0822,0.16028883296530694,0.3810595830436796,0.012808208004571497,0.006272415979765356,2.3522764170193113,0.004064166976604611,2.9170755830127746
256,2,sgd,3,0.0617,0.16028883296530694,0.3689192089950666,0.013638083008117974,0.0034524580114521086,0.46492025000043213,0.0023917080252431333,1.01390837400686
256,5,logistic,3,0.1668,0.16028883296530694,0.3433516669902019,0.012591290986165404,0.002764167031273246,3.0943474170053378,0.004667750035878271,3.6189834579708986
256,5,sgd,3,0.1212,0.16028883296530694,0.36878295900532976,0.017633624956943095,0.003880791016854346,0.4540933750104159,0.0023906250135041773,1.007825332984794
